node_id,longitude,latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
87,121.1487699,30.80750333,29.59013176,968,0.304347826,0,0.043478261,0.347826087,0.043478261,0,0.260869565
88,121.1667363,30.80750333,38.08839035,1250,0.172413793,0,0,0.517241379,0.103448276,0.034482759,0.172413793
89,121.1847026,30.80750333,34.14967537,2936,0.027777778,0,0,0.277777778,0.25,0.027777778,0.388888889
90,121.2026689,30.80750333,11.70557117,2160,0.037037037,0,0.037037037,0.666666667,0.074074074,0.037037037,0.148148148
91,121.2206352,30.80750333,41.12619686,1384,0.172413793,0,0.034482759,0.482758621,0.103448276,0.103448276,0.103448276
92,121.2386015,30.80750333,15.38736725,1143,0,0,0,0.761904762,0,0,0.238095238
93,121.2565678,30.80750333,55.88155746,2817,0.024691358,0,0.024691358,0.209876543,0.654320988,0,0.086419753
94,121.2745341,30.80750333,70.6224823,12544,0.189393939,0.024621212,0.318181818,0.172348485,0.1875,0.013257576,0.026515152
95,121.2925004,30.80750333,137.829792,10135,0.208333333,0.017156863,0.274509804,0.115196078,0.18872549,0.026960784,0.105392157
96,121.3104667,30.80750333,9.105394363,2172,0.107142857,0.071428571,0.035714286,0.535714286,0.107142857,0.035714286,0.107142857
97,121.328433,30.80750333,47.26628685,3410,0,0,0,0.240740741,0.685185185,0.018518519,0.037037037
98,121.3463993,30.80750333,73.50211334,11460,0.094936709,0.012658228,0.069620253,0.088607595,0.620253165,0.012658228,0.088607595
99,121.3643656,30.80750333,176.4370193,6830,0.06097561,0.024390244,0.109756098,0.195121951,0.487804878,0,0.073170732
100,121.3823319,30.80750333,69.86815453,2182,0.095238095,0,0.095238095,0.476190476,0.095238095,0.095238095,0.095238095
101,121.4002982,30.80750333,28.56853485,3625,0.137931034,0,0,0.413793103,0.206896552,0.068965517,0.172413793
102,121.4182645,30.80750333,101.1074677,4585,0.285714286,0,0.015873016,0.126984127,0.428571429,0,0.142857143
103,121.4362308,30.80750333,65.3188858,3326,0.060606061,0.045454545,0.045454545,0.227272727,0.5,0,0.121212121
104,121.4541971,30.80750333,149.9236603,1846,0.133333333,0.022222222,0,0.088888889,0.533333333,0.044444444,0.133333333
105,121.4721635,30.80750333,83.77513123,2119,0.153846154,0,0,0,0.846153846,0,0
106,121.4901298,30.80750333,0,609,0,0,0,0,0.8,0.2,0
107,121.5080961,30.80750333,0,98,0,0,0,0,0,0,0
108,121.5260624,30.80750333,0,0,0,0,0,0,0,0,0
109,121.5440287,30.80750333,0,0,0,0,0,0,0,0,0
110,120.9870732,30.82293322,0,393,0,0,0,0,0,0,0
111,121.0050395,30.82293322,0,9,0,0,0,0,0,0,0
112,121.0230058,30.82293322,0,107,0,0,0,0,0,0,0
113,121.0409721,30.82293322,0,744,0,0,0,0,0,0,0
114,121.1308036,30.82293322,4.53752327,435,0.375,0,0.125,0.125,0.125,0,0.25
115,121.1487699,30.82293322,11.74317074,920,0,0,0,0.4,0.2,0.1,0.3
116,121.1667363,30.82293322,302.6015015,4614,0.241860465,0.018604651,0.376744186,0.144186047,0.106976744,0.009302326,0.065116279
117,121.1847026,30.82293322,58.37415695,3825,0.158878505,0.009345794,0.214953271,0.411214953,0.056074766,0,0.102803738
118,121.2026689,30.82293322,16.03911018,1083,0,0,0,0.882352941,0.058823529,0,0.058823529
119,121.2206352,30.82293322,202.2542992,3502,0.042857143,0.014285714,0.071428571,0.257142857,0.442857143,0.071428571,0.1
120,121.2386015,30.82293322,21.59283638,3855,0.225609756,0.036585366,0.323170732,0.097560976,0.158536585,0.042682927,0.067073171
121,121.2565678,30.82293322,208.0797958,2257,0.071428571,0,0.107142857,0.464285714,0.285714286,0.071428571,0
122,121.2745341,30.82293322,38.22211838,1987,0,0,0.074074074,0.592592593,0.111111111,0.037037037,0.185185185
123,121.2925004,30.82293322,65.50444984,2345,0.125,0,0,0.225,0.175,0.125,0.35
124,121.3104667,30.82293322,265.4737549,1735,0.083333333,0,0,0.75,0.041666667,0.041666667,0.083333333
125,121.328433,30.82293322,98.4403286,2080,0.057692308,0,0.019230769,0.326923077,0.596153846,0,0
126,121.3463993,30.82293322,50.2416153,7549,0.04379562,0,0.02189781,0.094890511,0.773722628,0,0.065693431
127,121.3643656,30.82293322,117.8822937,2937,0,0,0.054054054,0.459459459,0.405405405,0,0.081081081
128,121.3823319,30.82293322,37.61890411,652,0.147058824,0,0.117647059,0.382352941,0.147058824,0.088235294,0.117647059
129,121.4002982,30.82293322,27.96559334,849,0.038461538,0,0.115384615,0.538461538,0.192307692,0.076923077,0.038461538
130,121.4182645,30.82293322,1297.380676,3154,0.058823529,0.019607843,0.196078431,0.196078431,0.470588235,0.019607843,0.019607843
131,121.4362308,30.82293322,62.50074768,3462,0.033333333,0.011111111,0.044444444,0.122222222,0.688888889,0,0.077777778
132,121.4541971,30.82293322,326.6202621,5360,0.145695364,0.01986755,0.086092715,0.125827815,0.40397351,0.052980132,0.119205298
133,121.4721635,30.82293322,114.8966751,7239,0.085443038,0.022151899,0.183544304,0.563291139,0.085443038,0.006329114,0.018987342
134,121.4901298,30.82293322,312.5967026,1619,0.333333333,0,0.111111111,0,0.333333333,0.055555556,0.055555556
135,121.5080961,30.82293322,0,2731,0.212121212,0.045454545,0.143939394,0.121212121,0.068181818,0.068181818,0.25
136,121.5260624,30.82293322,0,2567,0.231111111,0.004444444,0.302222222,0.164444444,0.097777778,0.048888889,0.08
137,121.5440287,30.82293322,0,598,0.111111111,0.027777778,0.194444444,0.111111111,0,0.166666667,0.305555556
138,121.561995,30.82293322,0,125,0,0,0.076923077,0,0,0.846153846,0
139,121.5799613,30.82293322,0,1,0,0,0,0,0,0,0
140,121.5979276,30.82293322,0,0,0,0,0,0,0,0,0
141,120.9870732,30.83836064,257.8691406,708,0,0,0,0,0,0,0
142,121.0050395,30.83836064,39.46334839,654,0,0,0,0.5,0.5,0,0
143,121.0230058,30.83836064,7.521695614,683,0,0,0,1,0,0,0
144,121.0409721,30.83836064,0,680,0.5,0,0,0,0.25,0,0.25
145,121.0589384,30.83836064,0,146,0,0,0,0,0,0,0
146,121.1128373,30.83836064,0,213,0,0,0,0,0,0,0
147,121.1308036,30.83836064,3.93118,650,0.571428571,0,0.142857143,0,0,0,0.285714286
148,121.1487699,30.83836064,31.29594612,1304,0.095238095,0,0.047619048,0.238095238,0.333333333,0,0.285714286
149,121.1667363,30.83836064,38.32967758,6610,0.111111111,0.01010101,0.101010101,0.171717172,0.454545455,0.02020202,0.111111111
150,121.1847026,30.83836064,50.55153847,6639,0.175,0.00625,0.19375,0.14375,0.38125,0,0.1
151,121.2026689,30.83836064,22.3992424,2665,0.06122449,0.020408163,0.040816327,0.326530612,0.326530612,0.020408163,0.183673469
152,121.2206352,30.83836064,103.7839088,10178,0.042471042,0,0.081081081,0.521235521,0.297297297,0.007722008,0.034749035
153,121.2386015,30.83836064,31.66378403,6628,0.080412371,0.008247423,0.189690722,0.525773196,0.129896907,0.012371134,0.032989691
